"","data1","data2","data3","data4","data5","data6","data7","data8","data9","data10","data11","data12","data13","data14","data15"
"1",655.09,67.28,41.08,11.03,25.97,543.65,9.09,83.75,36.44,90.72,44.35,64.14,47.37,35.06,38.97
"2",460.81,46.84,29.08,7.56,17.7,373.6,6.11,58.59,24.39,62.53,30.91,44.61,32.83,23.26,26.9
"3",345.22,35.05,22.44,5.47,13.13,275.03,4.59,43.17,18.14,47.08,23.16,33.83,26.53,17.48,19.81
"4",252.97,28.63,17.63,4.5,10.56,217.28,3.56,34.73,14.63,37.76,19,26.88,21.57,14.08,16.22
"5",212.84,23.69,14.39,3.64,9.26000000000001,176.88,2.91,28.97,12.2,31.22,15.44,22.34,17.75,11.63,13.64
"6",188.98,19.83,13.36,3.21,7.59999999999999,150.4,2.61,24.27,10.23,27.19,13.33,19.08,15.13,9.78,11.2
"7",157,17.39,10.75,2.61,6.33,138.27,2.12,21.9,8.88999999999999,23.39,11.53,16.33,13.03,8.68000000000001,9.96000000000001
"8",139.61,15.49,10.02,2.34,5.83000000000001,122.4,1.94,19.18,7.91,20.75,10.61,14.67,11.5,7.66999999999999,8.91
"9",124.91,15.16,9.38999999999999,2.11,5.14,112.62,1.76,17.91,7.19999999999999,18.83,9.48000000000002,13.4,10.23,6.78,8.08000000000001
"10",114.11,14.13,8.60999999999999,1.95,4.7,97.1099999999997,1.6,15.8,6.59999999999999,17.35,8.84999999999999,12.48,9.71000000000001,6.28999999999999,7.26000000000002
"11",108.54,12.82,8,1.81,4.36,89.5900000000001,1.52,14.65,6.22,16.1,8.07999999999998,11.4,8.97,5.99000000000001,6.86000000000001
"12",103.19,11.83,7.13999999999999,1.73,4.50999999999999,91.8499999999999,1.45,14.29,5.81,15.59,7.62,11.07,8.58000000000001,5.70000000000002,6.50999999999999
"13",95.0300000000002,11.62,6.78999999999999,1.66999999999999,3.98999999999998,82.6900000000001,1.39,13.6,5.64000000000001,14.45,7.22,10.31,8.06,5.17000000000002,6.26000000000002
"14",91.9299999999998,10.55,6.81,1.58,4.19,79.2800000000002,1.32,12.79,5.34,14.14,6.94,10.07,7.64000000000001,5.19,5.89000000000001
"15",88.29,10.2,6.31,1.55,3.88,78.1900000000001,1.26,12.3,5.23999999999998,14.17,7.09999999999999,10,7.44,4.84999999999999,5.82999999999998
