,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15
0.2,0.3925,0.2773,0.0,0.3135,0.0,0.7536,0.4484,0.1936,0.422,0.4681,0.4566,0.4544,0.0,0.2181,0.0
0.25,0.3303,0.229,0.0,0.2161,0.0,0.7245,0.4315,0.1399,0.4379,0.4628,0.4921,0.3927,0.0,0.1707,0.0544
0.3,0.3273,0.2566,0.0,0.2819,0.0,0.7051,0.4639,0.1454,0.4381,0.465,0.4844,0.3594,0.0,0.1663,0.0216
0.35,0.3087,0.2631,0.0,0.1682,0.0,0.6867,0.4348,0.0843,0.4029,0.4846,0.4066,0.3464,0.0,0.2034,0.0
0.4,0.3212,0.2296,0.0,0.1931,0.0,0.6833,0.4153,0.1459,0.4053,0.4435,0.4464,0.3487,0.0,0.2246,0.0
0.45,0.2674,0.3299,0.0423,0.0636,0.0,0.6324,0.42,0.0539,0.4203,0.399,0.416,0.3843,0.0,0.2493,0.0
0.5,0.2823,0.1751,0.0,0.1505,0.0512,0.6113,0.3967,0.1695,0.3189,0.3627,0.3957,0.239,0.0,0.2595,0.0803
0.55,0.2499,0.1672,0.0,0.105,0.0,0.6027,0.3897,0.0,0.3598,0.4111,0.4317,0.3192,0.0,0.2564,0.0
0.6,0.2701,0.2303,0.0,0.1957,0.0,0.5755,0.3702,0.1141,0.24,0.3697,0.3867,0.2512,0.0,0.278,0.1952
0.65,0.2825,0.2935,0.0,0.0999,0.0,0.5607,0.4027,0.0066,0.3263,0.3758,0.3711,0.2783,0.0,0.1935,0.174
0.7,0.2207,0.2422,0.0062,0.1807,0.0,0.5455,0.3756,0.0658,0.2872,0.397,0.4126,0.2628,0.0,0.2065,0.0
0.75,0.2019,0.2718,0.0,0.0,0.1127,0.5434,0.3842,0.0138,0.2675,0.3898,0.3912,0.3078,0.0,0.2251,0.1268
0.8,0.2208,0.2178,0.1152,0.0971,0.0,0.559,0.3711,0.058,0.2318,0.3681,0.3098,0.2734,0.0,0.1929,0.0
0.85,0.2291,0.15,0.0,0.098,0.3753,0.5131,0.4473,0.0596,0.2204,0.361,0.3876,0.2459,0.0,0.2514,0.0
0.9,0.2149,0.2447,0.0113,0.117,0.0,0.5376,0.3821,0.0,0.2674,0.354,0.3425,0.2979,0.0,0.2601,0.2968
