,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15
0.2,0.0,0.0,0.0,0.0,0.0,0.1189,0.0,0.0,0.0,0.1004,0.0103,0.0,0.0,0.0,0.0
0.25,0.0032,0.0,0.0,0.0,0.0,0.1051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0,0.0,0.1527,0.0,0.0,0.0,0.0,0.0883,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0,0.0909,0.0,0.0,0.0,0.0765,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.1009,0.0,0.0,0.0,0.0,0.1634,0.0,0.0,0.0,0.0
0.45,0.0243,0.0,0.0,0.0,0.0,0.1021,0.0,0.0,0.0,0.0,0.1766,0.0,0.0,0.0,0.0
0.5,0.0267,0.0,0.0,0.0,0.0,0.0694,0.0,0.0,0.0,0.0,0.1505,0.0,0.0,0.0012,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.1372,0.0,0.0,0.0328,0.0
0.6,0.0003,0.0,0.0,0.0,0.0,0.0322,0.0,0.0,0.0,0.0,0.1866,0.0,0.0,0.0463,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0827,0.0
0.7,0.0,0.0,0.0,0.0,0.0,0.0308,0.0,0.0,0.0,0.0,0.1927,0.0,0.0,0.006,0.0
0.75,0.0191,0.0,0.0,0.0,0.0,0.0766,0.0,0.0,0.0,0.0,0.1428,0.0,0.0,0.022,0.0
0.8,0.006,0.0,0.0,0.0,0.0,0.0372,0.0,0.0,0.0,0.0,0.1071,0.0,0.0,0.0404,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0578,0.0,0.0,0.0,0.0,0.0619,0.0,0.0,0.068,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1121,0.0
