,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15
0.2,0.4896,0.2672,0.0,0.2923,0.0,0.8136,0.4908,0.2459,0.5745,0.5774,0.5296,0.5306,0.0,0.3097,0.0436
0.25,0.4883,0.2838,0.0,0.285,0.0,0.7989,0.4815,0.2504,0.5559,0.5695,0.5429,0.5133,0.0,0.3157,0.0317
0.3,0.4783,0.3041,0.0,0.2373,0.0,0.7959,0.4816,0.2461,0.5665,0.5956,0.5317,0.5119,0.0,0.2759,0.0145
0.35,0.4831,0.2736,0.0,0.2932,0.0,0.7965,0.4837,0.224,0.5443,0.5728,0.5349,0.4832,0.0,0.2725,0.0
0.4,0.4779,0.2411,0.0,0.2497,0.0,0.7785,0.4754,0.2243,0.536,0.5699,0.5128,0.4795,0.0,0.2814,0.0992
0.45,0.4596,0.2694,0.0,0.2987,0.0,0.767,0.4472,0.2119,0.508,0.5686,0.5028,0.4734,0.0,0.3091,0.0
0.5,0.4716,0.3129,0.0049,0.2638,0.0,0.7563,0.4857,0.1661,0.4969,0.6215,0.5119,0.4759,0.0,0.2902,0.0074
0.55,0.4584,0.2478,0.0,0.2375,0.0,0.7592,0.4446,0.2018,0.5232,0.5573,0.4965,0.458,0.0,0.2921,0.046
0.6,0.4613,0.2519,0.0,0.2794,0.0,0.7584,0.4915,0.2267,0.5163,0.5851,0.5254,0.4693,0.0,0.3288,0.026
0.65,0.4562,0.2169,0.0,0.2714,0.0,0.7437,0.448,0.1312,0.4838,0.5617,0.5233,0.4532,0.0,0.3246,0.0
0.7,0.4653,0.2758,0.0,0.3223,0.0,0.7385,0.4443,0.1793,0.4846,0.5133,0.514,0.4488,0.0,0.2952,0.0
0.75,0.4511,0.2685,0.0,0.2978,0.0,0.7186,0.4455,0.187,0.523,0.5686,0.5159,0.4417,0.0,0.299,0.0
0.8,0.4412,0.2421,0.0,0.2146,0.0,0.7187,0.4487,0.2303,0.5317,0.5474,0.5029,0.4561,0.0,0.275,0.1161
0.85,0.4367,0.3019,0.0,0.2556,0.0,0.7134,0.4745,0.225,0.5106,0.6016,0.4913,0.4272,0.0,0.2524,0.0
0.9,0.4334,0.2725,0.0,0.2731,0.0,0.7222,0.448,0.1119,0.4754,0.5319,0.5165,0.3998,0.0,0.3196,0.0
