,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15
0.2,0.7262,1.7472,2.4574,4.7225,6.3783,1.1081,55.0033,1.4528,1.3723,1.4088,0.5616,1.2816,0.8157,0.5593,3.5366
0.25,0.6856,2.0582,2.4038,4.7225,6.3238,1.1167,55.0055,1.5534,1.498,1.5278,0.6074,0.9517,0.6982,0.5878,3.3619
0.3,0.7096,1.9428,2.7971,4.7225,6.1885,1.0866,54.9877,1.5402,1.4953,1.6186,0.539,0.9879,0.7512,0.529,3.8039
0.35,0.6953,1.9002,2.6526,4.7225,6.3759,1.1255,55.0155,1.6654,1.5553,1.4275,0.5699,1.0468,0.7307,0.5065,3.7207
0.4,0.7251,2.0461,2.668,4.7225,6.3941,1.1194,55.0004,1.6113,1.5642,1.6278,0.5163,1.1429,0.707,0.4718,3.7279
0.45,0.6783,1.8277,2.7295,4.7225,6.2223,1.1186,55.0187,1.636,1.7199,1.6106,0.5123,0.9931,0.667,0.4703,3.6742
0.5,0.6775,1.8961,2.9171,4.7225,6.3858,1.1388,55.0533,1.6352,1.6418,1.7768,0.5203,0.9338,0.6196,0.4654,3.8056
0.55,0.688,1.8711,2.6926,4.7225,6.3448,1.1763,54.9343,1.6519,1.6057,1.8181,0.5244,0.9926,0.649,0.458,3.6333
0.6,0.6866,1.8605,2.5415,4.7225,6.3212,1.1613,55.027,1.8271,1.6895,1.515,0.5091,0.9492,0.6728,0.4548,3.7683
0.65,0.6873,1.9938,2.8146,4.7225,6.3273,1.1326,55.1933,1.788,1.7448,1.5352,0.5953,0.985,0.6136,0.446,3.8219
0.7,0.6922,1.8517,2.5742,4.7225,6.2699,1.1621,54.8324,1.8337,1.7505,1.5684,0.5072,0.9062,0.617,0.4643,3.8591
0.75,0.6801,1.943,3.0469,4.7225,6.4609,1.1343,55.1976,1.7228,1.5913,1.5182,0.5226,0.9085,0.6622,0.4605,3.9479
0.8,0.6846,1.8689,2.6675,4.7225,6.1837,1.1583,54.8685,1.7096,1.8035,1.4881,0.5334,0.925,0.6614,0.4562,3.9262
0.85,0.6872,1.8233,3.2484,4.7225,6.1578,1.1458,54.8962,1.8873,1.6519,1.6531,0.5467,1.004,0.6344,0.4496,3.459
0.9,0.7045,1.9476,2.6432,4.7225,6.5284,1.1239,55.0589,1.7057,1.6529,1.4882,0.5704,0.9392,0.6094,0.4388,3.4101
