,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15
0.2,0.4906,1.2495,1.4145,0.4353,1.8025,0.5097,26.647,0.7526,0.7484,0.9656,0.3872,0.5451,0.5544,0.3869,1.8547
0.25,0.4912,1.2353,1.4016,0.4376,1.9845,0.5294,26.8895,0.7503,0.7647,0.9746,0.3816,0.5551,0.5439,0.3852,1.8662
0.3,0.496,1.2177,1.4879,0.4519,1.9433,0.5333,26.8863,0.7524,0.7554,0.9446,0.3863,0.5558,0.5746,0.3963,1.8827
0.35,0.4937,1.2441,1.4386,0.4351,1.7715,0.5325,26.8334,0.7634,0.7746,0.9708,0.385,0.5719,0.5635,0.3972,1.9481
0.4,0.4962,1.2716,1.397,0.4482,1.8206,0.5556,27.0468,0.7633,0.7815,0.9741,0.394,0.574,0.557,0.3947,1.7999
0.45,0.5048,1.2477,1.4132,0.4334,1.7941,0.5699,27.7648,0.7693,0.8048,0.9757,0.398,0.5774,0.5451,0.3871,1.9159
0.5,0.4992,1.2099,1.3221,0.444,1.8733,0.5828,26.7799,0.7914,0.8138,0.9139,0.3944,0.576,0.5444,0.3923,1.8895
0.55,0.5054,1.266,1.4711,0.4519,1.746,0.5793,27.8292,0.7742,0.7922,0.9883,0.4006,0.5858,0.5795,0.3918,1.8524
0.6,0.504,1.2626,1.4142,0.4393,1.592,0.5802,26.6284,0.7621,0.798,0.9568,0.3889,0.5796,0.5754,0.3815,1.8717
0.65,0.5064,1.2917,1.4667,0.4417,1.9858,0.5976,27.7448,0.8078,0.8244,0.9834,0.3898,0.5883,0.5508,0.3827,2.0791
0.7,0.5021,1.2422,1.4555,0.426,1.9534,0.6036,27.837,0.7851,0.8237,1.0362,0.3935,0.5907,0.5546,0.3909,1.924
0.75,0.5087,1.2485,1.5152,0.4336,1.7444,0.6262,27.8072,0.7814,0.7924,0.9756,0.3928,0.5945,0.5591,0.3899,1.9026
0.8,0.5133,1.2708,1.4459,0.4586,2.0264,0.626,27.7275,0.7603,0.7852,0.9993,0.398,0.5868,0.5842,0.3965,1.7831
0.85,0.5154,1.2196,1.4842,0.4465,1.8635,0.6319,27.0696,0.7629,0.8027,0.9376,0.4026,0.6021,0.579,0.4026,2.1137
0.9,0.5169,1.245,1.5049,0.4412,2.034,0.6221,27.744,0.8167,0.831,1.0163,0.3925,0.6164,0.5585,0.3841,1.9505
