,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15
0.2,69,3,1,0,0,71,0,3,0,3,7,6,5,4,0
0.25,64,2,1,0,0,51,0,3,0,3,4,4,3,3,0
0.3,49,1,0,0,0,42,0,2,0,2,3,3,3,2,0
0.35,44,1,0,0,0,33,0,1,0,2,2,2,2,2,0
0.4,34,1,0,0,0,31,0,1,0,2,2,2,2,1,0
0.45,32,1,0,0,0,26,0,1,0,1,1,2,1,1,0
0.5,28,1,0,0,0,23,0,1,0,2,1,2,1,1,0
0.55,24,1,0,0,0,20,0,1,0,1,1,2,1,1,0
0.6,22,1,0,0,0,20,0,1,0,1,1,1,1,1,0
0.65,21,1,0,0,0,17,0,1,0,1,1,2,1,1,0
0.7,19,1,0,0,0,16,0,1,0,1,1,1,1,1,0
0.75,18,1,0,0,0,16,0,1,0,1,1,1,1,1,0
0.8,17,1,0,0,0,16,0,1,0,1,1,1,1,1,0
0.85,17,1,0,0,0,15,0,1,0,1,1,1,1,0,0
0.9,17,0,0,0,0,13,0,1,0,1,1,1,1,1,0
